id,name,address,locality,latitude,longitude,cuisines,average_cost_for_two,aggregate_rating,rating_text,votes,all_reviews_count,photo_count,has_online_delivery
3700561,Gelateria Montecatini Terme,"Goubert Avenue, Next To Alliance Franchaise, White Town, Puducherry",White Town,11.92595654,79.83420622,Desserts,150,4.9,Excellent,724,409,426,0
3700572,Bread & Chocolate,"Auroville Main Raod, Kuilapalayam, Auroville, Puducherry",Auroville,11.99074804,79.82975274,"Bakery, Cafe, Healthy Food",500,4.7,Excellent,555,285,666,0
3700041,Zuka,"319, Mission Street, MG Road, Puducherry",MG Road,11.92982738,79.83019866,"Desserts, Bakery",300,4.7,Excellent,1351,633,1559,1
3700050,Baker Street,"123, Bussy Street, MG Road, Puducherry",MG Road,11.92938748,79.82865002,"Bakery, French",400,4.6,Excellent,1798,1072,2790,0
3700835,Coromandel Cafe,"La Maison Rose, 8 Romain Rolland Street, White Town, Puducherry",White Town,11.93110212,79.83424008,"Cafe, Italian, French, British",1000,4.5,Excellent,1016,498,987,0
3700219,Boston Cafe,"38, Mission Street, Puducherry",White Town,11.93940844,79.83187705,"Fast Food, Chinese, North Indian",400,4.5,Excellent,282,150,156,0
3700049,Villa Shanti,"Villa Shanti, 14, Suffren Street, White Town, Puducherry",White Town,11.929698,79.833191,Continental,1500,4.4,Very Good,1285,748,1698,1
3700399,Canteen 18,"14, Needaraja Paiyar street, Heritage Town, Puducherry",Heritage Town,11.93353283,79.83127691,"Cafe, Fast Food",800,4.4,Very Good,251,148,207,0
3700010,Auroville Bakery,"Kuilapalayam, Auroville, Puducherry",Auroville,11.99003276,79.83463302,Bakery,150,4.4,Very Good,495,274,615,0
3700465,Cream Affair,"6, bussy st,Romain Rolland street corner, White Town, Puducherry",White Town,11.92850933,79.83362652,"American, Cafe, Desserts, Ice Cream",300,4.4,Very Good,392,213,378,0
19347940,KFC,"Shop 9 & 10, 7, Ground Floor, Providence Mall, Venkata Subha Reddiar Salai, Ambedkar Nagar, Orleanpet, MG Road, Puducherry","Providence Mall, MG Road",11.928959,79.81986,"Burger, Fast Food, Finger Food, Beverages",450,4.4,Very Good,163,1,35,1
19233478,Lassi Shop,"264, Kamaraj Salai, Thiruvalarkeni, Gandhinagar, Puducherry",Gandhinagar,11.9410785,79.81041532,"Beverages, Juices, Desserts, Fast Food",200,4.4,Very Good,99,1,1,1
3700037,Le Dupleix,"5, Rue De La Caserne, White Town, Puducherry",White Town,11.93104176,79.83375896,"North Indian, French, Continental",1500,4.3,Very Good,1008,569,1067,0
3700021,The Indian Kaffe Express,"3, Rue Dumas Street, Near IG Office, White Town, Puducherry",White Town,11.93036995,79.83476747,"Cafe, North Indian",500,4.3,Very Good,979,574,1121,1
3700009,Tanto,"Main Road, Near Iyyanar Koil Kullapalyam, Auroville, Puducherry",Auroville,11.99091661,79.82865572,"Pizza, Italian",1400,4.3,Very Good,996,590,901,0
18427467,The Smoothie Bar,"26, Sri Aurobindo Street, Mission Street Crossing, Heritage Town, Puducherry",Heritage Town,11.93824265,79.83139157,"American, Cafe, Continental, European, Healthy Food, Beverages, Juices, Desserts",500,4.3,Very Good,1066,358,526,1
3700656,Margaritas,"1 Aurobindo Street, Gingee Street Junction, White Town, Puducherry",White Town,11.93775455,79.83308304,"Mexican, Continental, American, Desserts, Finger Food, Ice Cream, Juices, Salad",600,4.3,Very Good,1363,654,688,1
3700047,Surguru,"104, Sardar Vallabhai Patel Salai, Near Aurobindo Ashram, Heritage Town, Puducherry",Heritage Town,11.94202212,79.82975375,"South Indian, North Indian, Chinese",400,4.3,Very Good,562,265,251,0
3700178,ibaco,"Old 10, New 14, Dupuy Street, White Town, Puducherry",White Town,11.937619,79.834661,"Ice Cream, Desserts",300,4.3,Very Good,346,44,86,1
